,popularity,artist_name,genres,artist_id,followers
125,74,Jeremih,"['chicago rap', 'dance pop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",3KV3p5EY4AvKxOlhGHORLg,"{'href': None, 'total': 5875373}"
126,71,Lee Brice,"['contemporary country', 'country', 'country road', 'modern country rock']",5Zq7R5qmi58ByYyBQTlNuk,"{'href': None, 'total': 1786810}"
127,79,P!nk,"['dance pop', 'pop']",1KCSPY1glIKqW2TotWuXOR,"{'href': None, 'total': 13571958}"
128,73,YNW Melly,"['melodic rap', 'trap']",1cNDP5yjU5vjeR8qMf4grg,"{'href': None, 'total': 7934700}"
129,78,Chase Atlantic,"['modern rock', 'pop']",7cYEt1pqMgXJdq00hAwVpT,"{'href': None, 'total': 3575147}"
130,78,Radiohead,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",4Z8W4fKeB5YxbusRsdQVPb,"{'href': None, 'total': 7399595}"
131,73,MF DOOM,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'rap']",2pAWfrd7WFF3XhVt9GooDL,"{'href': None, 'total': 1447719}"
132,71,Sam Hunt,"['contemporary country', 'country pop']",2kucQ9jQwuD8jWdtR9Ef38,"{'href': None, 'total': 2238031}"
133,82,Nicky Jam,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",1SupJlEpv7RS2tPNRaHViT,"{'href': None, 'total': 17555679}"
134,71,Jordan Davis,['contemporary country'],77kULmXAQ6vWer7IIHdGzI,"{'href': None, 'total': 687983}"
135,83,BLACKPINK,"['k-pop', 'k-pop girl group']",41MozSoPIsD1dJM0CLPjZF,"{'href': None, 'total': 31976994}"
136,86,Feid,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino']",2LRoIwlKmHjgvigdNGBHNo,"{'href': None, 'total': 1900502}"
137,75,G-Eazy,"['indie pop rap', 'oakland hip hop', 'pop', 'pop rap', 'rap']",02kJSzxNuaWGqwubyUba0Z,"{'href': None, 'total': 5103241}"
138,73,T.I.,"['atl hip hop', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",4OBJLual30L7gRl5UkeRcT,"{'href': None, 'total': 4314995}"
139,74,Journey,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",0rvjqX7ttXeg3mTy8Xscbt,"{'href': None, 'total': 4500651}"
140,80,Kygo,"['edm', 'pop', 'pop dance', 'tropical house']",23fqKkggKUBHNkbKtXEls4,"{'href': None, 'total': 8134671}"
141,76,Lorde,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop', 'uk pop']",163tK9Wjr9P9DmM0AVK7lm,"{'href': None, 'total': 9911665}"
142,80,Selena Gomez,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",0C8ZW7ezQVs4URX5aX7Kqx,"{'href': None, 'total': 37084043}"
143,82,Sech,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",77ziqFxp5gaInVrF2lj4ht,"{'href': None, 'total': 11093593}"
144,81,Becky G,"['latin', 'latin viral pop', 'rap latina', 'reggaeton']",4obzFoKoKRHIphyHzJ35G3,"{'href': None, 'total': 12097969}"
145,79,League of Legends,"['speedrun', 'video game music']",47mIJdHORyRerp4os813jD,"{'href': None, 'total': 1490560}"
146,72,$NOT,"['aesthetic rap', 'florida rap', 'rap', 'underground hip hop']",5IbEL2xjRtKsunfmsahLuO,"{'href': None, 'total': 1164869}"
147,78,Labrinth,"['indie poptimism', 'pop']",2feDdbD5araYcm6JhFHHw7,"{'href': None, 'total': 2492465}"
148,72,Dan + Shay,"['contemporary country', 'country', 'pop']",7z5WFjZAIYejWy0NI5lv4T,"{'href': None, 'total': 2719625}"
149,73,Latto,"['pop', 'trap queen']",3MdXrJWsbVzdn6fe5JYkSQ,"{'href': None, 'total': 862019}"
150,71,Eric Church,"['contemporary country', 'country', 'country road', 'modern country rock']",2IvkS5MXK0vPGnwyJsrEyV,"{'href': None, 'total': 3493136}"
151,76,WILLOW,"['afrofuturism', 'dance pop', 'electropop', 'pop', 'post-teen pop']",3rWZHrfrsPBxVy692yAIxF,"{'href': None, 'total': 2229280}"
152,82,Tiësto,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']",2o5jDhtHVPhrJdv3cEQ99Z,"{'href': None, 'total': 6536506}"
153,74,Phoebe Bridgers,"['indie pop', 'la indie']",1r1uxoy19fzMxunt3ONAkG,"{'href': None, 'total': 1297318}"
154,82,Sia,"['australian dance', 'australian pop', 'pop']",5WUlDfRSoLAfcVSX1WnrxN,"{'href': None, 'total': 24275562}"
155,75,PARTYNEXTDOOR,"['pop', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap', 'urban contemporary']",2HPaUgqeutzr3jx5a9WyDV,"{'href': None, 'total': 4083658}"
156,79,Daft Punk,"['electro', 'filter house']",4tZwfgrHOc3mvqYlEYSvVi,"{'href': None, 'total': 9151720}"
158,76,iann dior,"['melodic rap', 'pop rap']",6ASri4ePR7RlsvIQgWPJpS,"{'href': None, 'total': 1621330}"
159,76,Hozier,"['irish singer-songwriter', 'pop']",2FXC3k01G6Gw61bmprjgqS,"{'href': None, 'total': 5232682}"
160,72,Carrie Underwood,"['contemporary country', 'country', 'country dawn', 'country road', 'oklahoma country', 'post-teen pop']",4xFUf1FHVy696Q1JQZMTRj,"{'href': None, 'total': 5359209}"
162,74,H.E.R.,"['dance pop', 'pop', 'r&b']",3Y7RZ31TRPVadSFVy1o8os,"{'href': None, 'total': 5465997}"
164,77,Ne-Yo,"['dance pop', 'pop', 'r&b', 'urban contemporary']",21E3waRsmPlU7jZsS13rcj,"{'href': None, 'total': 7359751}"
165,71,Tim McGraw,"['contemporary country', 'country', 'country road']",6roFdX1y5BYSbp60OTJWMd,"{'href': None, 'total': 4103762}"
168,78,Britney Spears,"['dance pop', 'pop', 'post-teen pop']",26dSoYclwsYLMAKD3tpOr4,"{'href': None, 'total': 11294685}"
170,71,Pooh Shiesty,"['memphis hip hop', 'rap', 'tennessee hip hop', 'trap']",5F1aAS1duwlzExnPs3l2Xe,"{'href': None, 'total': 954427}"
171,77,The Rolling Stones,"['british invasion', 'classic rock', 'rock']",22bE4uQ6baNwSHPVcDxLCe,"{'href': None, 'total': 12086785}"
174,75,6LACK,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",4IVAbR2w4JJNJDDRFP3E83,"{'href': None, 'total': 3629755}"
176,80,ABBA,"['europop', 'swedish pop']",0LcJLqbBmaGUft1e9Mm8HV,"{'href': None, 'total': 8648806}"
178,77,Alicia Keys,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",3DiDSECUqqY1AuBP8qtaIa,"{'href': None, 'total': 9911786}"
179,70,HARDY,['contemporary country'],5QNm7E7RU2m64l6Gliu8Oy,"{'href': None, 'total': 187577}"
183,77,The Killers,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",0C0XlULifJtAgn6ZNCW2eu,"{'href': None, 'total': 6658248}"
184,76,Creedence Clearwater Revival,"['album rock', 'classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']",3IYUhFvPQItj6xySrBmZkd,"{'href': None, 'total': 5241468}"
185,73,Cage The Elephant,"['modern rock', 'punk blues', 'rock']",26T3LtbuGT1Fu9m0eRq5X3,"{'href': None, 'total': 2970119}"
186,71,EST Gee,"['kentucky hip hop', 'rap', 'southern hip hop', 'trap']",4FlG0V0jhLO4qGpayFOphj,"{'href': None, 'total': 268080}"
187,79,Romeo Santos,"['bachata', 'latin']",5lwmRuXgjX8xIwlnauTZIP,"{'href': None, 'total': 16174904}"
188,75,Rain Fruits Sounds,[],5OQTGVAJnAH4u8MIOXUA7Y,"{'href': None, 'total': 2179}"
190,73,Three Days Grace,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge']",2xiIXseIJcq3nG7C8fHeBj,"{'href': None, 'total': 5354171}"
191,73,Pusha T,"['hip hop', 'rap', 'southern hip hop', 'trap', 'virginia hip hop']",0ONHkAv9pCAFxb0zJwDNTy,"{'href': None, 'total': 2562593}"
192,78,Bob Marley & The Wailers,"['reggae', 'roots reggae']",2QsynagSdAqZj3U9HgDzjD,"{'href': None, 'total': 10791507}"
195,73,Outkast,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop']",1G9G7WwrXka3Z1r7aIDjI7,"{'href': None, 'total': 2023085}"
196,69,Upchurch,"['country rap', 'redneck']",2pSObt5Fk8izuX8ZfI3jRn,"{'href': None, 'total': 1326774}"
